dates,prices
3,455
4,246
16,411
34,250
66,432
79,318
70,418
23,136
52,443
17,64
68,456
27,349
24,313
43,450
21,439
78,491
30,225
97,446
67,409
55,89
13,102
32,213
14,137
98,382
42,284
10,416
77,249
85,355
36,365
15,289
79,441
55,122
11,376
19,284
33,227
23,233
49,443
23,159
34,113
61,324
12,486
70,86
53,306
62,395
52,152
99,446
82,278
23,467
6,59
14,65
8,341
76,123
10,226
60,64
56,214
44,163
91,488
70,175
94,490
72,182
93,473
88,469
90,397
96,331
100,188
18,383
72,196
64,80
98,60
43,413
11,303
92,475
65,383
74,203
6,236
54,194
88,430
32,446
48,154
12,174
52,120
67,363
73,491
36,137
79,50
5,163
46,67
62,413
73,187
61,496
63,167
46,414
87,223
21,230
18,151
75,420
9,133
75,84
72,125
30,459
43,185
5,414
44,134
53,374
13,418
74,245
87,202
85,433
80,349
38,398
81,437
63,408
73,299
47,260
87,138
48,460
60,443
43,174
38,259
76,386
4,460
16,121
96,248
57,378
11,230
51,487
19,326
65,175
71,173
33,255
96,117
58,254
81,144
43,229
100,220
20,157
35,71
94,396
71,259
65,153
71,64
40,324
93,91
37,355
48,188
26,60
50,50
44,418
83,477
69,488
68,425
16,87
29,320
4,176
70,417
49,459
28,211
86,419
97,362
38,409
55,203
13,172
25,105
36,163
70,64
45,276
95,260
79,462
1,415
95,373
97,165
39,457
62,168
25,321
36,239
41,316
11,406
10,452
74,495
91,414
70,90
15,239
60,107
25,265
9,342
19,426
28,291
59,229
2,250
92,297
33,415
48,328
2,418
59,202
55,448
42,86
24,352
34,240
59,71
15,125
66,331
2,57
18,491
29,362
83,180
34,471
65,460
39,376
13,134
19,447
53,346
49,417
66,84
95,292
55,151
48,364
80,109
57,83
32,425
67,229
38,316
20,112
54,441
77,188
33,471
75,186
66,483
86,221
23,107
86,225
5,269
88,68
46,339
100,302
17,345
79,62
49,183
77,311
84,374
8,235
44,169
25,157
63,285
31,234
61,104
31,81
89,495
40,384
2,240
23,192
30,124
34,116
68,341
5,394
6,110
35,208
6,325
39,396
29,429
68,290
37,358
2,398
8,239
19,118
83,52
5,359
59,198
44,367
50,254
94,66
72,91
31,89
68,324
64,466
92,276
60,454
68,351
36,344
86,500
72,221
3,104
45,457
40,177
79,285
63,240
63,496
45,218
72,186
35,158
2,122
93,173
51,381
94,267
20,350
56,459
3,234
15,482
46,50
32,445
48,192
60,253
84,215
74,59
25,142
56,363
98,136
13,263
65,53
23,299
40,305
76,128
52,260
19,120
44,104
8,324
77,259
89,70
92,353
10,244
45,280
59,238
55,111
84,291
57,351
95,176
56,219
87,356
23,368
60,254
34,211
86,150
65,347
88,183
94,427
20,445
28,205
21,109
28,261
14,133
18,246
93,216
22,458
81,302
79,282
44,410
48,265
63,324
86,74
24,65
49,432
80,99
7,281
94,415
92,288
41,184
86,145
39,125
59,296
9,159
92,307
62,403
46,315
82,500
96,125
46,73
12,179
26,436
